ID,Start Date,End Date,Gender,PSSQ1,PSSQ2,PSSQ3,PSSQ4,PSSQ5,PSSQ6,PSSQ7,PSSQ8,PSSQ9,PSSQ10,PandemicQ1,PandemicQ2,PandemicQ3,answerQ1,AnswerQ2,aware_different_feelings_I_felt,not_aware_those_feelings,aware_my_thoughts,experiencing_present_fully,felt_aware_alert,noticed_small_details_in_experience,able_logically_think_through_strong_negative_emotions,know_strongest_qualitites,know_what_brings_me_joy,can_think_strategies_use_stay_calm_stressful_situations,can_think_environments_where_would_be_in_positive_mindset,I am confused about why the friend has this emotion,The emotion of the friend was caused by his or her own behavior,The emotion of the friend was caused by your actions,The emotion of the friend was caused by circumstances out of anyone’s control,I would take action to further understand or resolve the friend’s emotion,I thought more about the situation from how it could affect my relationship with the friend as opposed to the emotion of the friend,I am very confused why the friend has this emotion (1),The emotion of the friend was caused by his or her own behavior (1),The emotion of the friend was caused by your actions (1),The emotion of the friend was caused by circumstances out of anyone’s control (1),I would take action to further understand or resolve the friend’s emotion (1),I thought more about the situation from how it could affect my relationship with the friend as opposed to the emotion of the friend (1),I feel like I have a strong understanding of that person’s emotions,I know what that person is thinking,"I feel strong emotions for that person  (feel bad for them, happy for them, etc)",I wish I could help the person in this situation,I feel like I have a strong understanding of that person’s emotions (1),I know what that person is thinking (1),"I feel strong emotions for that person  (feel bad for them, happy for them, etc) (1)",I wish I could help the person in this situation (1),I feel like I have a strong understanding of that person’s emotions (2),I know what that person is thinking (2),"I feel strong emotions for that person (feel bad for them, happy for them, etc) (2)",I feel like I have a strong understanding of that person’s emotions (3),I know what that person is thinking (3),"I feel strong emotions for that person (feel bad for them, happy for them, etc) (3)",I would like the friend to pay more attention to what I’m saying,I am annoyed with the friend,"I considered that the friend might have an external reason to check the time (running late, etc)",I should pay more attention to what the friend is saying,I am annoyed with myself,"I considered that I might have an external reason to check the time (running late, etc)",I am justified in asking the person to pay for the meal,I am annoyed with the person,I considered the emotional effect the situation would have on me,I considered the emotional effect the situation might have had on the other person,The person is justified in asking me to pay for the meal,I am annoyed with myself,I considered the emotional effect the situation would have on me,I considered the emotional effect the situation might have had on the other person
118109962904,08/23/2022 01:32:23 PM,08/23/2022 03:30:02 PM,Male,sometimes,fairly often,very often,almost never,sometimes,sometimes,sometimes,almost never,sometimes,almost never,Disagree,Somewhat agree,Strongly disagree,Sunday,I don't know,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Agree,Disagree,Disagree,Agree,Disagree,Neither agree or disagree,Somewhat disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Somewhat disagree,Disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Agree,Neither agree or disagree,Neither agree or disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Agree
118110019365,08/23/2022 02:30:37 PM,08/23/2022 02:47:42 PM,Male,fairly often,very often,fairly often,fairly often,very often,sometimes,almost never,almost never,sometimes,almost never,Strongly agree,Strongly agree,Somewhat agree,Thursday,Which road leads to the city of truth,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree
118110005178,08/23/2022 02:15:27 PM,08/23/2022 02:41:00 PM,Female,never,never,never,never,never,never,fairly often,fairly often,fairly often,fairly often,Somewhat agree,Somewhat agree,Somewhat agree,Thursday ,Which road go to village ?,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree or disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree
118109965586,08/23/2022 01:35:04 PM,08/23/2022 02:11:22 PM,Male,almost never,almost never,almost never,never,almost never,never,fairly often,sometimes,sometimes,very often,Somewhat agree,Disagree,Strongly disagree,Thursday,Which road will take me to your village?,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree or disagree,Disagree,Neither agree or disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
118109988947,08/23/2022 02:00:20 PM,08/23/2022 02:10:37 PM,Female,sometimes,sometimes,fairly often,sometimes,fairly often,sometimes,sometimes,sometimes,sometimes,sometimes,Disagree,Disagree,Disagree,Saturday,I would ask which direction is the truth,Agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Agree,Strongly agree,Neither agree or disagree,Disagree,Strongly disagree,Somewhat agree,Neither agree or disagree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree or disagree,Somewhat disagree,Agree,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree
118109975449,08/23/2022 01:45:55 PM,08/23/2022 01:55:18 PM,Male,very often,very often,very often,very often,very often,very often,sometimes,almost never,almost never,almost never,Strongly agree,Strongly agree,Strongly agree,Sunday,Neither,Agree,Disagree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Disagree,Strongly agree,Neither agree or disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
118109977223,08/23/2022 01:47:06 PM,08/23/2022 01:54:29 PM,Male,very often,very often,very often,sometimes,very often,almost never,fairly often,almost never,sometimes,sometimes,Somewhat agree,Somewhat agree,Somewhat disagree,Sunday,I don't know.,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Agree,Agree,Disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree
118109945328,08/23/2022 01:14:00 PM,08/23/2022 01:52:49 PM,Female,sometimes,sometimes,fairly often,almost never,sometimes,sometimes,sometimes,almost never,sometimes,sometimes,Somewhat agree,Neither agree or disagree,Disagree,,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree
118109948756,08/23/2022 01:16:16 PM,08/23/2022 01:49:02 PM,Female,sometimes,never,sometimes,never,never,never,fairly often,sometimes,fairly often,sometimes,Strongly agree,Somewhat agree,Neither agree or disagree,sunday,Do you live in the truth or lying city?,Agree,Strongly disagree,Agree,Strongly disagree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Disagree,Agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Somewhat disagree,Strongly agree,Agree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree
118109962524,08/23/2022 01:31:41 PM,08/23/2022 01:46:29 PM,Male,sometimes,sometimes,sometimes,sometimes,sometimes,almost never,sometimes,sometimes,sometimes,sometimes,Somewhat agree,Somewhat agree,Somewhat disagree,Sunday,Were you born with three eyes?,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Somewhat agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree or disagree,Somewhat disagree,Neither agree or disagree,Agree,Neither agree or disagree,Somewhat agree,Somewhat agree,Neither agree or disagree,Neither agree or disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree or disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree,Neither agree or disagree,Agree,Disagree,Agree,Somewhat disagree,Neither agree or disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree
